country_code,level1_en,level2_en,level3_en,level1_vi,level2_vi,level3_vi
VN,Binh Duong,Tan Uyen Town,Thanh Hoi Ward,Bình Dương,Thị xã Tân Uyên,Xã Thạnh Hội
VN,Binh Duong,Tan Uyen Town,Thai Hoa Ward,Bình Dương,Thị xã Tân Uyên,Phường Thái Hòa
VN,An Giang,Tan Chau Town,Long Thanh Ward,An Giang,Thị xã Tân Châu,Phường Long Thạnh
VN,An Giang,Tan Chau Town,Long Hung Ward,An Giang,Thị xã Tân Châu,Phường Long Hưng
VN,An Giang,Tan Chau Town,Long Chau Ward,An Giang,Thị xã Tân Châu,Phường Long Châu
VN,An Giang,Tan Chau Town,Phu Loc Ward,An Giang,Thị xã Tân Châu,Xã Phú Lộc
VN,An Giang,Tan Chau Town,Vinh Xuong Ward,An Giang,Thị xã Tân Châu,Xã Vĩnh Xương
VN,An Giang,Tan Chau Town,Vinh Hoa Ward,An Giang,Thị xã Tân Châu,Xã Vĩnh Hòa
VN,An Giang,Tan Chau Town,Tan Thanh Ward,An Giang,Thị xã Tân Châu,Xã Tân Thạnh
VN,An Giang,Tan Chau Town,Tan An Ward,An Giang,Thị xã Tân Châu,Xã Tân An
VN,An Giang,Tan Chau Town,Long An Ward,An Giang,Thị xã Tân Châu,Xã Long An
VN,An Giang,Tan Chau Town,Long Phu Ward,An Giang,Thị xã Tân Châu,Phường Long Phú
VN,An Giang,Tan Chau Town,Chau Phong Ward,An Giang,Thị xã Tân Châu,Xã Châu Phong
VN,An Giang,Tan Chau Town,Phu Vinh Ward,An Giang,Thị xã Tân Châu,Xã Phú Vĩnh
VN,An Giang,Tan Chau Town,Le Chanh Ward,An Giang,Thị xã Tân Châu,Xã Lê Chánh
VN,An Giang,Tan Chau Town,Long Son Ward,An Giang,Thị xã Tân Châu,Phường Long Sơn
VN,Tay Ninh,Trang Bang Town,Trang Bang Ward,Tây Ninh,Thị xã Trảng Bàng,Phường Trảng Bàng
VN,Tay Ninh,Trang Bang Town,Don Thuan Ward,Tây Ninh,Thị xã Trảng Bàng,Xã Đôn Thuận
VN,Tay Ninh,Trang Bang Town,Hung Thuan Ward,Tây Ninh,Thị xã Trảng Bàng,Xã Hưng Thuận
VN,Tay Ninh,Trang Bang Town,Loc Hung Ward,Tây Ninh,Thị xã Trảng Bàng,Phường Lộc Hưng
VN,Tay Ninh,Trang Bang Town,Gia Loc Ward,Tây Ninh,Thị xã Trảng Bàng,Phường Gia Lộc
VN,Tay Ninh,Trang Bang Town,Gia Binh Ward,Tây Ninh,Thị xã Trảng Bàng,Phường Gia Bình
VN,Tay Ninh,Trang Bang Town,Phuoc Binh Ward,Tây Ninh,Thị xã Trảng Bàng,Xã Phước Bình
VN,Tay Ninh,Trang Bang Town,An Tinh Ward,Tây Ninh,Thị xã Trảng Bàng,Phường An Tịnh
VN,Tay Ninh,Trang Bang Town,An Hoa Ward,Tây Ninh,Thị xã Trảng Bàng,Phường An Hòa
VN,Tay Ninh,Trang Bang Town,Phuoc Chi Ward,Tây Ninh,Thị xã Trảng Bàng,Xã Phước Chỉ
VN,Nghe An,Thai Hoa Town,Hoa Hieu Ward,Nghệ An,Thị xã Thái Hòa,Phường Hòa Hiếu
VN,Nghe An,Thai Hoa Town,Quang Phong Ward,Nghệ An,Thị xã Thái Hòa,Phường Quang Phong
VN,Nghe An,Thai Hoa Town,Quang Tien Ward,Nghệ An,Thị xã Thái Hòa,Phường Quang Tiến
VN,Nghe An,Thai Hoa Town,Long Son Ward,Nghệ An,Thị xã Thái Hòa,Phường Long Sơn
VN,Nghe An,Thai Hoa Town,Nghia Tien Ward,Nghệ An,Thị xã Thái Hòa,Xã Nghĩa Tiến
VN,Nghe An,Thai Hoa Town,Nghia My Ward,Nghệ An,Thị xã Thái Hòa,Xã Nghĩa Mỹ
VN,Nghe An,Thai Hoa Town,Tay Hieu Ward,Nghệ An,Thị xã Thái Hòa,Xã Tây Hiếu
VN,Nghe An,Thai Hoa Town,Nghia Thuan Ward,Nghệ An,Thị xã Thái Hòa,Xã Nghĩa Thuận
VN,Nghe An,Thai Hoa Town,Dong Hieu Ward,Nghệ An,Thị xã Thái Hòa,Xã Đông Hiếu
VN,Ha Noi,Son Tay Town,Le Loi Ward,Hà Nội,Thị xã Sơn Tây,Phường Lê Lợi
